model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,company
A3,2019,23990,Semi-Auto,7454,Petrol,145,41.5,1.5,Audi
Q2,2018,20990,Semi-Auto,8650,Petrol,145,54.3,1.4,Audi
A3,2019,21990,Semi-Auto,14246,Petrol,145,42.2,1.5,Audi
A4,2018,20990,Manual,13894,Petrol,145,50.4,1.4,Audi
A5,2019,31990,Manual,6000,Petrol,145,37.2,2.0,Audi
Q5,2019,36490,Automatic,6000,Diesel,145,38.2,2.0,Audi
A6,2019,27975,Automatic,11500,Diesel,145,50.4,2.0,Audi
Q3,2019,31990,Semi-Auto,7595,Diesel,145,38.7,2.0,Audi
A8,2019,40990,Automatic,5000,Diesel,145,50.4,3.0,Audi
TT,2019,26990,Manual,6000,Petrol,145,39.8,2.0,Audi
Q2,2017,19490,Semi-Auto,25221,Petrol,30,54.3,1.4,Audi
Q5,2017,24990,Semi-Auto,18495,Diesel,145,56.5,2.0,Audi
A3,2018,22490,Manual,13732,Petrol,145,54.3,1.5,Audi
TT,2019,49990,Semi-Auto,3931,Petrol,145,30.7,2.5,Audi
TT,2019,31750,Automatic,1791,Petrol,145,34.9,2.0,Audi
Q7,2019,47990,Semi-Auto,13769,Diesel,145,33.2,3.0,Audi
Q3,2019,25490,Manual,11130,Diesel,145,42.8,2.0,Audi
A5,2019,29490,Automatic,7500,Petrol,145,43.5,2.0,Audi
A3,2020,30990,Semi-Auto,6000,Petrol,145,41.5,1.5,Audi
Q2,2020,26339,Manual,6000,Petrol,145,43.5,1.5,Audi
Q5,2019,38990,Semi-Auto,6000,Petrol,145,32.1,2.0,Audi
A1,2018,15400,Manual,19481,Petrol,145,55.4,1.4,Audi
A1,2017,14400,Manual,29271,Petrol,30,55.4,1.4,Audi
Q5,2020,37000,Semi-Auto,4000,Petrol,145,32.1,2.0,Audi
Q2,2019,22750,Manual,7235,Diesel,145,47.9,1.6,Audi
Q3,2019,37990,Automatic,6000,Petrol,145,31.4,2.0,Audi
Q2,2019,28355,Automatic,6000,Petrol,145,42.2,1.5,Audi
A6,2019,28490,Automatic,7500,Diesel,145,47.9,2.0,Audi
A4,2019,21990,Manual,6000,Petrol,145,39.2,2.0,Audi
TT,2019,26490,Automatic,5000,Petrol,145,38.7,2.0,Audi
Q7,2019,44990,Automatic,5000,Diesel,145,33.2,3.0,Audi
A4,2019,27490,Automatic,5000,Diesel,145,44.8,2.0,Audi
A3,2019,19000,Automatic,5999,Diesel,145,54.3,1.6,Audi
Q3,2020,32500,Semi-Auto,3999,Petrol,145,31.4,2.0,Audi
Q2,2019,22750,Manual,5433,Diesel,145,47.9,1.6,Audi
Q2,2019,21500,Automatic,5999,Diesel,145,47.9,1.6,Audi
A3,2016,17400,Manual,22740,Petrol,30,57.6,1.4,Audi
A1,2016,14700,Manual,23932,Diesel,20,72.4,1.6,Audi
Q3,2017,19750,Manual,18937,Petrol,145,49.6,1.4,Audi
Q3,2019,25500,Automatic,5644,Diesel,145,48.7,2.0,Audi
TT,2016,16400,Manual,33700,Petrol,145,47.1,1.8,Audi
Q5,2017,31990,Semi-Auto,13255,Petrol,145,40.4,2.0,Audi
Q2,2017,18250,Manual,22698,Petrol,145,52.3,1.4,Audi
A6,2020,35000,Semi-Auto,3999,Diesel,145,47.1,2.0,Audi
A3,2019,33990,Automatic,6000,Petrol,145,33.2,2.0,Audi
A1,2019,19857,Manual,6272,Petrol,145,50.4,1.0,Audi
Q7,2019,49490,Automatic,6301,Diesel,145,33.2,3.0,Audi
A6,2019,30000,Automatic,5999,Diesel,145,47.9,2.0,Audi
A3,2019,20000,Semi-Auto,8932,Diesel,145,54.3,1.6,Audi
A5,2019,27500,Automatic,4999,Diesel,145,49.6,2.0,Audi
Q3,2019,27000,Manual,5999,Petrol,145,40.9,1.5,Audi
Q3,2016,16000,Manual,59816,Diesel,145,52.3,2.0,Audi
A1,2016,12000,Manual,45998,Petrol,30,55.4,1.4,Audi
A1,2017,13000,Semi-Auto,17449,Petrol,20,64.2,1.0,Audi
A1,2020,25250,Semi-Auto,3999,Petrol,145,44.1,1.5,Audi
Q5,2020,60000,Semi-Auto,7499,Diesel,145,32.5,3.0,Audi
Q3,2019,27500,Manual,3999,Petrol,145,40.9,1.5,Audi
A3,2015,16000,Semi-Auto,48954,Hybrid,0,176.6,1.4,Audi
A3,2017,19250,Manual,20698,Petrol,145,54.3,1.5,Audi
A4,2019,25250,Automatic,6999,Diesel,145,48.7,2.0,Audi
TT,2019,30878,Automatic,6000,Petrol,145,40.9,2.0,Audi
Q7,2019,55990,Automatic,6000,Diesel,145,33.2,3.0,Audi
TT,2019,28490,Automatic,6000,Petrol,145,35.3,2.0,Audi
Q3,2019,27990,Manual,6000,Petrol,145,39.8,1.5,Audi
A1,2020,22000,Semi-Auto,2999,Petrol,145,44.8,1.0,Audi
A1,2020,21000,Manual,3999,Petrol,145,47.9,1.0,Audi
Q7,2020,59750,Automatic,6500,Diesel,145,33.2,3.0,Audi
Q5,2020,45000,Semi-Auto,2500,Diesel,145,37.2,2.0,Audi
A1,2020,22250,Semi-Auto,2999,Petrol,145,44.1,1.0,Audi
Q2,2020,23000,Manual,2999,Petrol,145,45.6,1.0,Audi
Q7,2019,56900,Automatic,9570,Diesel,145,32.1,3.0,Audi
A3,2019,18000,Automatic,12607,Diesel,145,52.3,1.6,Audi
Q2,2019,20000,Manual,4999,Petrol,145,47.1,1.0,Audi
A4,2020,32500,Semi-Auto,3999,Diesel,145,49.6,2.0,Audi
A4,2015,13491,Manual,54644,Diesel,30,61.4,2.0,Audi
Q3,2016,17032,Semi-Auto,22351,Petrol,145,47.9,1.4,Audi
TT,2016,19472,Manual,21705,Petrol,165,45.6,2.0,Audi
A1,2019,21560,Semi-Auto,7439,Petrol,145,40.9,2.0,Audi
A6,2018,29200,Semi-Auto,21457,Diesel,145,39.8,3.0,Audi
A3,2016,24291,Semi-Auto,20202,Petrol,165,43.5,2.0,Audi
A3,2018,21991,Semi-Auto,14464,Petrol,150,42.2,1.5,Audi
Q5,2016,22991,Semi-Auto,27443,Diesel,205,47.1,2.0,Audi
A5,2016,16926,Automatic,29325,Diesel,160,52.3,2.0,Audi
A3,2017,16436,Semi-Auto,48575,Petrol,145,49.6,2.0,Audi
Q3,2019,34026,Semi-Auto,6103,Petrol,145,37.2,1.5,Audi
A5,2017,19686,Automatic,25237,Diesel,145,68.9,2.0,Audi
A1,2016,12291,Manual,26487,Petrol,30,55.4,1.4,Audi
Q7,2017,35991,Semi-Auto,46566,Diesel,205,47.9,3.0,Audi
Q7,2019,68000,Automatic,7999,Diesel,145,33.2,3.0,Audi
Q3,2018,24991,Semi-Auto,16655,Petrol,150,45.6,1.4,Audi
A3,2013,9991,Manual,55600,Diesel,20,68.9,2.0,Audi
A6,2016,31991,Semi-Auto,24827,Petrol,330,30.7,4.0,Audi
A1,2016,12491,Manual,38876,Petrol,30,55.4,1.4,Audi
TT,2017,16991,Manual,38083,Petrol,150,47.1,1.8,Audi
A3,2018,26891,Semi-Auto,27342,Petrol,150,43.5,2.0,Audi
A8,2018,38861,Semi-Auto,5760,Petrol,145,37.7,3.0,Audi
Q2,2017,22692,Semi-Auto,39000,Diesel,145,58.9,2.0,Audi
A3,2013,10941,Manual,42345,Petrol,30,58.9,1.4,Audi
A3,2019,17900,Manual,7644,Diesel,145,49.6,1.6,Audi
A3,2019,31750,Semi-Auto,6278,Petrol,145,34.9,2.0,Audi
Q2,2019,32500,Semi-Auto,7335,Petrol,145,34.0,2.0,Audi
A1,2016,12300,Semi-Auto,44290,Diesel,0,76.3,1.6,Audi
A4,2015,13750,Semi-Auto,46877,Diesel,0,72.4,2.0,Audi
A5,2019,27500,Semi-Auto,3999,Diesel,145,49.6,2.0,Audi
A3,2019,26950,Automatic,3999,Petrol,145,38.2,2.0,Audi
Q5,2019,47000,Automatic,7200,Diesel,145,34.5,3.0,Audi
A4,2015,14850,Manual,20434,Petrol,145,49.6,1.8,Audi
Q5,2018,28884,Semi-Auto,16897,Diesel,145,54.3,2.0,Audi
A1,2019,21991,Semi-Auto,4499,Petrol,150,40.9,2.0,Audi
A4,2018,18350,Manual,24282,Diesel,145,70.6,2.0,Audi
Q3,2016,20700,Semi-Auto,10633,Petrol,145,47.9,1.4,Audi
Q3,2017,19741,Semi-Auto,35035,Diesel,145,55.4,2.0,Audi
Q5,2016,17585,Semi-Auto,77432,Diesel,200,47.1,2.0,Audi
Q5,2016,23442,Semi-Auto,15744,Diesel,200,47.1,2.0,Audi
A8,2018,36441,Semi-Auto,22688,Diesel,145,50.4,3.0,Audi
A4,2018,20171,Semi-Auto,14860,Petrol,145,50.4,1.4,Audi
Q5,2016,21772,Semi-Auto,33763,Diesel,200,47.1,2.0,Audi
A3,2016,18381,Semi-Auto,31513,Petrol,30,56.5,1.4,Audi
A1,2017,17962,Semi-Auto,19107,Petrol,30,70.6,1.4,Audi
Q5,2020,42991,Semi-Auto,2648,Diesel,145,38.2,2.0,Audi
A4,2017,21382,Semi-Auto,19860,Diesel,145,62.8,2.0,Audi
A4,2017,20900,Semi-Auto,16508,Petrol,145,49.6,1.4,Audi
TT,2016,37000,Semi-Auto,25529,Petrol,300,34.0,2.5,Audi
TT,2015,16000,Manual,39700,Diesel,30,65.7,2.0,Audi
A6,2016,20000,Semi-Auto,19862,Diesel,145,56.5,2.0,Audi
A4,2020,46750,Semi-Auto,2999,Diesel,145,39.2,3.0,Audi
A1,2020,22750,Semi-Auto,2999,Petrol,145,44.8,1.5,Audi
A6,2019,28360,Semi-Auto,15700,Diesel,145,47.9,2.0,Audi
A5,2019,28320,Semi-Auto,11000,Diesel,145,50.4,2.0,Audi
A3,2019,17420,Manual,8624,Petrol,145,48.7,1.0,Audi
Q2,2017,20052,Semi-Auto,19786,Petrol,145,52.3,1.4,Audi
Q2,2017,17202,Manual,52236,Petrol,125,50.4,1.4,Audi
A5,2016,15682,Manual,32219,Petrol,160,46.3,1.8,Audi
Q2,2019,21944,Semi-Auto,3588,Diesel,145,47.9,1.6,Audi
Q3,2019,28470,Manual,3500,Petrol,145,39.8,1.5,Audi
A4,2020,34990,Semi-Auto,3200,Petrol,145,42.2,2.0,Audi
Q3,2020,31990,Manual,2100,Petrol,145,39.8,1.5,Audi
A1,2015,11461,Semi-Auto,48643,Petrol,20,60.1,1.4,Audi
A6,2020,35780,Semi-Auto,3503,Diesel,145,47.9,2.0,Audi
Q3,2020,32990,Manual,2985,Diesel,145,42.8,2.0,Audi
A4,2019,43880,Automatic,3608,Diesel,145,39.2,3.0,Audi
A1,2016,11761,Manual,31104,Petrol,30,55.4,1.4,Audi
A1,2017,12891,Manual,28512,Petrol,30,55.4,1.4,Audi
A4,2019,24480,Semi-Auto,16211,Petrol,145,38.7,2.0,Audi
A3,2019,22510,Automatic,5505,Diesel,145,52.3,1.6,Audi
A5,2019,26100,Automatic,11067,Petrol,145,39.8,2.0,Audi
Q8,2019,48022,Automatic,10200,Diesel,145,33.6,3.0,Audi
Q5,2016,21990,Semi-Auto,40787,Diesel,200,45.6,3.0,Audi
Q5,2019,67990,Semi-Auto,6000,Diesel,145,32.5,3.0,Audi
A5,2019,33990,Automatic,5000,Diesel,145,50.4,2.0,Audi
A1,2019,19979,Manual,6000,Petrol,145,47.9,1.0,Audi
A1,2020,24990,Semi-Auto,5000,Petrol,145,44.8,1.5,Audi
Q5,2020,53990,Semi-Auto,6000,Diesel,145,34.5,3.0,Audi
Q2,2020,24653,Manual,6000,Petrol,145,43.5,1.5,Audi
A5,2020,31780,Semi-Auto,5137,Diesel,145,46.3,2.0,Audi
Q3,2016,16596,Manual,28448,Petrol,125,50.4,1.4,Audi
A4,2017,21781,Semi-Auto,25145,Petrol,145,52.3,2.0,Audi
A1,2016,13671,Manual,39356,Petrol,30,55.4,1.4,Audi
Q7,2016,32989,Semi-Auto,48322,Diesel,200,47.9,3.0,Audi
Q5,2019,36050,Automatic,2994,Diesel,145,38.2,2.0,Audi
A5,2019,29630,Semi-Auto,3633,Petrol,145,37.7,2.0,Audi
Q5,2019,33185,Semi-Auto,7152,Diesel,145,38.2,2.0,Audi
Q5,2019,52990,Automatic,5000,Diesel,145,34.5,3.0,Audi
A4,2019,45990,Automatic,5000,Diesel,145,39.2,3.0,Audi
Q7,2020,59990,Semi-Auto,799,Diesel,145,33.2,3.0,Audi
Q5,2020,34990,Semi-Auto,6000,Diesel,145,38.2,2.0,Audi
Q7,2020,86990,Semi-Auto,6000,Diesel,145,29.4,4.0,Audi
Q5,2019,44033,Semi-Auto,3525,Petrol,145,32.1,2.0,Audi
Q2,2019,36990,Automatic,6000,Petrol,145,41.5,1.5,Audi
A3,2019,26664,Automatic,4800,Diesel,145,52.3,1.6,Audi
TT,2019,27990,Semi-Auto,1266,Petrol,145,40.9,2.0,Audi
Q5,2019,33990,Automatic,6000,Diesel,145,38.2,2.0,Audi
A6,2017,22261,Semi-Auto,51214,Diesel,150,51.4,3.0,Audi
Q3,2018,23411,Semi-Auto,17211,Petrol,145,47.9,1.4,Audi
A3,2018,18291,Semi-Auto,40125,Petrol,145,56.5,1.5,Audi
A3,2016,11980,Manual,42500,Diesel,20,70.6,2.0,Audi
Q8,2019,50576,Automatic,4968,Diesel,145,33.6,3.0,Audi
A5,2019,28376,Automatic,5347,Diesel,145,45.6,2.0,Audi
Q2,2019,19430,Manual,11422,Diesel,145,49.6,1.6,Audi
Q2,2019,24080,Semi-Auto,12647,Petrol,145,40.9,1.5,Audi
Q2,2019,20760,Semi-Auto,10025,Diesel,145,47.9,1.6,Audi
Q2,2019,26846,Semi-Auto,901,Petrol,145,42.2,1.5,Audi
A3,2019,22910,Automatic,6650,Petrol,145,44.1,1.5,Audi
Q5,2019,37844,Semi-Auto,3361,Petrol,145,32.1,2.0,Audi
Q2,2019,31270,Semi-Auto,5446,Petrol,145,33.2,2.0,Audi
A4,2015,14722,Automatic,68003,Diesel,200,47.9,3.0,Audi
A3,2019,22061,Manual,4493,Diesel,145,51.4,1.6,Audi
Q2,2019,29665,Manual,5151,Petrol,145,39.2,1.5,Audi
A6,2019,28990,Automatic,9500,Diesel,145,47.9,2.0,Audi
Q5,2018,27841,Semi-Auto,38500,Diesel,145,55.4,2.0,Audi
A5,2014,14821,Manual,23838,Diesel,30,60.1,2.0,Audi
A1,2013,9991,Semi-Auto,52278,Petrol,125,53.3,1.4,Audi
A3,2020,27991,Semi-Auto,2500,Petrol,145,43.5,1.5,Audi
Q5,2019,28070,Semi-Auto,13246,Diesel,145,39.2,2.0,Audi
Q2,2019,21512,Manual,12,Diesel,145,49.6,1.6,Audi
A4,2019,24416,Manual,5986,Petrol,145,38.2,2.0,Audi
A5,2017,29082,Automatic,16495,Petrol,145,36.7,3.0,Audi
A4,2019,25826,Semi-Auto,8981,Diesel,145,44.8,2.0,Audi
A6,2016,23562,Semi-Auto,50810,Diesel,160,50.4,3.0,Audi
Q3,2017,17241,Manual,46063,Diesel,145,53.3,2.0,Audi
A5,2017,19973,Manual,27678,Petrol,145,49.6,2.0,Audi
Q5,2017,36641,Semi-Auto,49158,Petrol,145,34.0,3.0,Audi
A5,2017,26990,Semi-Auto,36209,Petrol,240,38.2,3.0,Audi
Q3,2017,19990,Semi-Auto,33201,Petrol,150,47.9,1.4,Audi
Q7,2020,84990,Semi-Auto,6000,Diesel,150,29.4,4.0,Audi
Q5,2016,33990,Semi-Auto,12562,Diesel,240,42.2,3.0,Audi
A3,2017,14490,Manual,29657,Diesel,20,67.3,2.0,Audi
A1,2017,13990,Manual,15038,Petrol,145,55.4,1.4,Audi
A1,2018,17990,Manual,15000,Petrol,150,54.3,1.4,Audi
Q7,2013,24490,Semi-Auto,51753,Diesel,305,38.2,3.0,Audi
A3,2018,20490,Manual,15000,Petrol,150,55.4,1.5,Audi
A4,2017,19732,Semi-Auto,14578,Petrol,145,50.4,1.4,Audi
A4,2016,14797,Semi-Auto,77896,Diesel,20,67.3,2.0,Audi
Q2,2019,27840,Semi-Auto,10652,Diesel,145,46.3,2.0,Audi
A5,2020,33990,Semi-Auto,6000,Petrol,145,39.2,2.0,Audi
A1,2019,21990,Manual,6000,Petrol,145,47.9,1.0,Audi
Q7,2020,59990,Semi-Auto,6000,Diesel,145,33.2,3.0,Audi
Q2,2018,22990,Manual,8057,Petrol,150,49.6,1.4,Audi
A3,2014,14102,Semi-Auto,56732,Diesel,125,57.6,2.0,Audi
TT,2017,16995,Manual,35000,Diesel,145,62.8,2.0,Audi
A3,2013,8991,Manual,73295,Diesel,20,67.3,2.0,Audi
A1,2016,15681,Semi-Auto,33291,Petrol,30,70.6,1.4,Audi
Q2,2017,20421,Semi-Auto,9534,Petrol,145,54.3,1.4,Audi
A5,2016,21111,Semi-Auto,31901,Petrol,30,53.3,2.0,Audi
A3,2019,21946,Semi-Auto,14580,Petrol,145,42.2,1.5,Audi
Q2,2017,18182,Manual,22326,Petrol,145,52.3,1.4,Audi
Q2,2019,21540,Semi-Auto,7212,Diesel,145,47.9,1.6,Audi
Q5,2016,19833,Manual,34991,Diesel,160,49.6,2.0,Audi
Q7,2019,58216,Automatic,3052,Diesel,145,33.2,3.0,Audi
A5,2017,20962,Semi-Auto,32065,Diesel,145,65.7,2.0,Audi
Q7,2019,48266,Automatic,7511,Diesel,145,32.8,3.0,Audi
Q2,2019,24490,Manual,6500,Petrol,145,39.2,1.5,Audi
A8,2018,36990,Automatic,5289,Diesel,145,50.4,3.0,Audi
A1,2017,13750,Semi-Auto,26241,Petrol,30,57.6,1.4,Audi
RS4,2020,71990,Semi-Auto,6000,Petrol,145,29.1,2.9,Audi
Q3,2019,32490,Semi-Auto,2743,Petrol,145,32.1,2.0,Audi
R8,2019,117990,Automatic,11936,Petrol,145,21.4,5.2,Audi
Q2,2017,23490,Semi-Auto,4649,Petrol,145,52.3,1.4,Audi
Q8,2018,51250,Semi-Auto,1964,Diesel,145,33.6,3.0,Audi
Q5,2019,39990,Automatic,6000,Petrol,145,32.1,2.0,Audi
A6,2015,21490,Automatic,37200,Diesel,235,44.8,3.0,Audi
Q5,2020,36990,Semi-Auto,6000,Diesel,145,38.2,2.0,Audi
A8,2018,38990,Automatic,2490,Petrol,145,37.7,3.0,Audi
Q2,2019,22990,Manual,3696,Petrol,145,40.9,1.5,Audi
A3,2019,18490,Manual,7200,Diesel,145,51.4,1.6,Audi
A4,2017,17490,Manual,12823,Petrol,145,52.3,1.4,Audi
A3,2018,19790,Manual,20900,Petrol,145,54.3,1.5,Audi
A3,2016,19990,Semi-Auto,50000,Petrol,200,40.9,2.0,Audi
Q7,2018,56990,Automatic,19940,Diesel,145,39.2,4.0,Audi
Q2,2016,19990,Semi-Auto,25000,Petrol,125,52.3,1.4,Audi
Q5,2019,51990,Semi-Auto,2901,Diesel,145,34.5,3.0,Audi
Q5,2013,18990,Automatic,52822,Petrol,260,35.8,2.0,Audi
RS4,2014,24990,Semi-Auto,70823,Petrol,555,26.4,4.2,Audi
A1,2019,18690,Manual,8350,Petrol,145,46.3,1.5,Audi
A6,2015,21990,Automatic,37200,Diesel,235,44.8,3.0,Audi
A1,2020,23845,Semi-Auto,5000,Petrol,145,44.8,1.0,Audi
Q3,2020,38990,Semi-Auto,5000,Petrol,145,39.8,1.5,Audi
Q5,2019,34490,Automatic,6000,Diesel,145,38.2,2.0,Audi
Q3,2019,24990,Manual,5000,Petrol,145,40.9,1.5,Audi
A5,2019,31990,Automatic,5000,Diesel,145,47.1,2.0,Audi
Q3,2019,28990,Automatic,6000,Diesel,145,47.1,2.0,Audi
TT,2019,29975,Automatic,6000,Petrol,145,38.7,2.0,Audi
A4,2016,15490,Manual,75015,Diesel,30,62.8,2.0,Audi
Q3,2016,19990,Semi-Auto,39775,Diesel,160,50.4,2.0,Audi
Q7,2018,54990,Semi-Auto,20000,Diesel,145,39.2,4.0,Audi
A3,2018,29990,Semi-Auto,21500,Petrol,145,43.5,2.0,Audi
A4,2018,25490,Semi-Auto,19299,Diesel,145,56.5,2.0,Audi
A1,2016,13990,Manual,33500,Petrol,30,55.4,1.4,Audi
A3,2018,19490,Manual,23800,Petrol,145,49.6,2.0,Audi
Q5,2019,33490,Automatic,5000,Diesel,145,38.2,2.0,Audi
Q2,2019,26990,Automatic,5000,Diesel,145,46.3,2.0,Audi
A7,2019,42990,Semi-Auto,259,Diesel,145,38.2,3.0,Audi
Q3,2018,23990,Semi-Auto,19100,Petrol,145,48.7,1.4,Audi
A3,2019,24990,Manual,6000,Petrol,145,43.5,1.5,Audi
A3,2018,21990,Manual,18503,Petrol,145,54.3,1.5,Audi
A1,2020,23490,Semi-Auto,5000,Petrol,145,44.8,1.5,Audi
R8,2020,145000,Semi-Auto,2000,Petrol,145,21.1,5.2,Audi
A3,2019,22990,Manual,6000,Diesel,145,52.3,1.6,Audi
A3,2017,18490,Manual,20871,Petrol,150,60.1,1.4,Audi
Q5,2020,37990,Semi-Auto,6000,Diesel,150,38.2,2.0,Audi
A3,2017,19490,Semi-Auto,18001,Petrol,150,56.5,1.5,Audi
A4,2017,19990,Semi-Auto,18132,Petrol,145,50.4,1.4,Audi
Q7,2017,49850,Automatic,29627,Diesel,145,39.2,4.0,Audi
Q5,2020,52990,Semi-Auto,6000,Diesel,145,34.5,3.0,Audi
A5,2014,12490,Semi-Auto,49353,Petrol,145,48.7,1.8,Audi
Q5,2019,29975,Automatic,6000,Diesel,145,39.2,2.0,Audi
Q3,2019,32990,Automatic,2743,Petrol,145,32.1,2.0,Audi
A4,2016,17950,Manual,21887,Diesel,30,64.2,2.0,Audi
Q2,2017,20750,Manual,18354,Petrol,145,50.4,1.4,Audi
A3,2017,29490,Semi-Auto,28000,Petrol,145,43.5,2.0,Audi
RS6,2017,54990,Automatic,39300,Petrol,145,29.4,4.0,Audi
Q3,2019,28990,Automatic,6000,Diesel,145,48.7,2.0,Audi
Q3,2019,26990,Manual,5000,Diesel,145,42.8,2.0,Audi
TT,2019,36990,Automatic,9081,Petrol,145,35.3,2.0,Audi
Q8,2019,64990,Automatic,6000,Diesel,145,32.8,3.0,Audi
A1,2019,21490,Semi-Auto,6000,Petrol,145,40.9,2.0,Audi
A6,2019,27990,Automatic,7400,Diesel,145,50.4,2.0,Audi
A3,2019,18490,Manual,100,Diesel,145,51.4,1.6,Audi
A1,2017,17990,Manual,30518,Petrol,235,39.8,2.0,Audi
A4,2020,47990,Semi-Auto,5000,Diesel,145,39.2,3.0,Audi
TT,2019,48990,Semi-Auto,2000,Petrol,145,31.0,2.5,Audi
A1,2017,14990,Automatic,30658,Petrol,30,56.5,1.4,Audi
Q3,2020,35990,Semi-Auto,5000,Petrol,145,31.4,2.0,Audi
A4,2019,26490,Manual,5000,Petrol,145,38.2,2.0,Audi
A5,2019,32990,Automatic,5000,Diesel,145,50.4,2.0,Audi
Q2,2019,24990,Semi-Auto,6042,Petrol,145,42.2,1.5,Audi
A3,2019,22490,Manual,5000,Petrol,145,42.8,1.5,Audi
Q5,2019,31490,Automatic,5000,Diesel,145,39.2,2.0,Audi
Q3,2019,28990,Semi-Auto,3027,Diesel,145,47.1,2.0,Audi
Q7,2017,35990,Automatic,19925,Diesel,200,47.9,3.0,Audi
A3,2017,18490,Manual,27928,Petrol,20,60.1,1.4,Audi
A4,2014,13490,Manual,45763,Diesel,30,62.8,2.0,Audi
A3,2019,23990,Semi-Auto,8473,Petrol,150,41.5,1.5,Audi
Q2,2018,20990,Semi-Auto,8600,Petrol,150,54.3,1.4,Audi
Q3,2016,17990,Manual,27500,Petrol,150,49.6,1.4,Audi
Q3,2018,23990,Manual,15047,Diesel,150,60.1,2.0,Audi
A1,2017,13490,Manual,23490,Petrol,150,56.5,1.4,Audi
Q2,2017,18990,Manual,27200,Petrol,150,50.4,1.4,Audi
A4,2019,27990,Automatic,5000,Petrol,145,40.9,2.0,Audi
Q2,2019,25490,Automatic,6000,Petrol,145,42.2,1.5,Audi
Q8,2019,56990,Automatic,5000,Diesel,145,33.6,3.0,Audi
Q2,2019,29995,Semi-Auto,4227,Petrol,145,39.8,1.5,Audi
Q7,2017,52990,Automatic,27195,Diesel,145,39.2,4.0,Audi
A3,2019,21990,Manual,4875,Petrol,145,42.2,1.5,Audi
A3,2016,17990,Semi-Auto,35273,Petrol,30,56.5,1.4,Audi
Q8,2019,51990,Automatic,9804,Diesel,145,33.6,3.0,Audi
A3,2014,14490,Manual,37991,Petrol,20,60.1,1.4,Audi
Q5,2019,51990,Semi-Auto,3712,Diesel,145,34.5,3.0,Audi
Q3,2019,28990,Semi-Auto,5454,Diesel,145,47.1,2.0,Audi
A3,2018,21990,Automatic,10500,Petrol,145,56.5,1.5,Audi
A6,2016,18990,Semi-Auto,62100,Diesel,125,58.9,2.0,Audi
Q7,2019,46990,Automatic,6000,Diesel,145,33.2,3.0,Audi
Q2,2019,28990,Automatic,2381,Petrol,145,33.2,2.0,Audi
Q3,2019,39990,Semi-Auto,7561,Petrol,145,30.7,2.0,Audi
Q3,2019,31990,Automatic,4590,Petrol,145,31.4,2.0,Audi
Q5,2019,32490,Automatic,5000,Diesel,145,38.2,2.0,Audi
A3,2017,19490,Semi-Auto,17100,Petrol,145,56.5,1.5,Audi
A5,2018,26490,Semi-Auto,4600,Petrol,145,50.4,2.0,Audi
A3,2019,31450,Semi-Auto,5069,Petrol,145,34.9,2.0,Audi
TT,2016,36490,Automatic,31362,Petrol,300,34.5,2.5,Audi
Q2,2017,21990,Semi-Auto,28943,Diesel,145,57.7,2.0,Audi
Q5,2018,34990,Semi-Auto,13500,Petrol,145,40.4,2.0,Audi
A4,2017,21990,Automatic,10488,Diesel,145,65.7,2.0,Audi
A5,2017,23490,Automatic,35220,Petrol,145,48.7,2.0,Audi
A1,2019,21500,Semi-Auto,100,Petrol,145,44.8,1.5,Audi
A6,2019,48000,Semi-Auto,506,Diesel,145,35.8,3.0,Audi
A3,2019,32500,Semi-Auto,9292,Petrol,150,34.9,2.0,Audi
Q5,2019,35500,Semi-Auto,9415,Diesel,150,38.2,2.0,Audi
Q5,2015,24290,Automatic,49431,Diesel,260,41.5,3.0,Audi
Q2,2018,17990,Manual,21110,Petrol,150,55.4,1.0,Audi
A5,2018,32990,Automatic,13453,Petrol,150,36.7,3.0,Audi
Q3,2018,20990,Manual,21909,Diesel,150,57.7,2.0,Audi
TT,2017,18990,Manual,16282,Petrol,150,47.1,1.8,Audi
A6,2016,24490,Semi-Auto,47750,Diesel,165,52.3,3.0,Audi
Q3,2016,19990,Semi-Auto,19393,Petrol,145,47.9,1.4,Audi
A5,2019,26275,Automatic,16177,Petrol,145,39.8,2.0,Audi
A3,2019,23490,Semi-Auto,15080,Petrol,145,41.5,1.5,Audi
A3,2019,23450,Semi-Auto,8585,Petrol,145,41.5,1.5,Audi
A3,2019,22490,Semi-Auto,14300,Petrol,145,42.2,1.5,Audi
A1,2017,17490,Semi-Auto,18000,Petrol,145,70.6,1.4,Audi
A4,2017,19490,Semi-Auto,13632,Petrol,145,51.4,1.4,Audi
A8,2019,38975,Automatic,7890,Diesel,145,40.4,3.0,Audi
A5,2019,25990,Manual,100,Petrol,145,39.2,2.0,Audi
A4,2019,22690,Manual,6995,Petrol,145,39.2,2.0,Audi
Q3,2019,39990,Semi-Auto,7120,Petrol,145,31.4,2.0,Audi
Q5,2019,43990,Semi-Auto,5593,Diesel,145,36.2,2.0,Audi
Q3,2020,34490,Semi-Auto,5000,Petrol,145,40.4,1.5,Audi
A3,2014,15000,Semi-Auto,24597,Hybrid,0,188.3,1.4,Audi
A3,2019,18000,Manual,7000,Diesel,145,51.4,1.6,Audi
A5,2019,26000,Semi-Auto,8000,Diesel,145,48.7,2.0,Audi
A4,2019,25000,Semi-Auto,10000,Diesel,145,49.6,2.0,Audi
